1)	2.02932
2)	1.96231
3)	1.98146
4)	1.98028
5)	2.06082
6)	2.03809
7)	2.03723
8)	1.99989
9)	2.02683
10)	1.99889
11)	2.0456
12)	1.99914
13)	1.99555
14)	2.01304
15)	1.99231
16)	2.00721
17)	1.98094
18)	1.92811
19)	2.06059
20)	1.9904
21)	1.95401
22)	1.98453
23)	1.99897
24)	1.99046
25)	2.02266
26)	1.95779
27)	2.00362
28)	1.97618
29)	2.0348
30)	1.99455
31)	2.01785
32)	2.01079
33)	2.00763
34)	1.93477
35)	1.95637
36)	2.01276
37)	1.98895
38)	1.96966
39)	2.03297
40)	2.0258
41)	2.06505
42)	2.01849
43)	2.00547
44)	2.00019
45)	1.98383
46)	1.98936
47)	2.00629
48)	2.01335
49)	2.0029
50)	1.98593
51)	2.00377
52)	1.99184
53)	2.01389
54)	2.01251
55)	1.92841
56)	2.04916
57)	2.00092
58)	1.93947
59)	2.02176
60)	1.99793
61)	2.00085
62)	2.06227
63)	2.03697
64)	1.99381
65)	1.97787
66)	2.00604
67)	2.0347
68)	2.0281
69)	2.02725
70)	1.97903
71)	2.01481
72)	1.98584
73)	1.97696
74)	2.05076
75)	1.96845
76)	1.98379
77)	2.01237
78)	2.03325
79)	2.01197
80)	1.99203
81)	2.04008
82)	1.99864
83)	2.03519
84)	1.97666
85)	2.01063
86)	1.96867
87)	1.98028
88)	2.0664
89)	2.02021
90)	2.01498
91)	2.02512
92)	2.00288
93)	1.97929
94)	2.07597
95)	2.05175
96)	2.01944
97)	2.03668
98)	1.95482
99)	2.02085
100)	2.01922
101)	2.00486
102)	2.01663
103)	2.05691
104)	1.92999
105)	2.02441
106)	1.981
107)	2.01715
108)	2.02298
109)	2.00437
110)	1.97903
111)	2.00411
112)	2.02721
113)	2.02083
114)	1.9892
115)	1.98203
116)	1.97995
117)	2.006
118)	1.95996
119)	2.0208
120)	2.02221
121)	2.0064
122)	2.01893
123)	1.984
124)	1.9985
125)	2.01402
126)	2.00249
127)	1.97479
128)	1.98377
129)	1.98106
130)	2.01132
131)	1.99138
132)	2.03611
133)	2.04125
134)	1.94443
135)	2.0511
136)	2.00526
137)	1.97346
138)	2.00073
139)	1.99505
140)	2.03203
141)	2.01067
142)	1.97959
143)	1.95477
144)	1.99255
145)	2.08502
146)	2.03992
147)	1.93931
148)	2.03494
149)	1.99917
150)	2.01008
151)	1.98272
152)	2.00146
153)	2.04081
154)	1.94331
155)	1.95697
156)	2.02548
157)	1.98095
158)	1.9832
159)	1.9882
160)	1.97974
161)	2.0441
162)	2.02669
163)	1.93449
164)	1.95148
165)	1.99157
166)	2.0294
167)	1.99007
168)	2.00966
169)	1.97041
170)	1.96487
171)	2.08501
172)	2.05849
